img,title,quantity,time,difficulty,ingredients,steps
https://recipe1.ezmember.co.kr/cache/recipe/2016/12/17/41e81f0365621e8a244ca3188cf2cc3b1.jpg,닭가슴살양배추볶음 든든한 반찬,3인분,30분 이내,아무나,"[{'name': '닭가슴살', 'quantity': '200g'}, {'name': '양배추', 'quantity': '350g'}, {'name': '청양고추', 'quantity': '2개'}, {'name': '홍고추', 'quantity': '1개'}, {'name': '간장', 'quantity': '1큰술'}, {'name': '액젓', 'quantity': '1큰술'}, {'name': '올리고당', 'quantity': '1큰술'}, {'name': '청주', 'quantity': '1큰술'}, {'name': '다진마늘', 'quantity': '1큰술'}, {'name': '파', 'quantity': '약간'}]","[{'description': '저는 훈제닭가슴살을 준비 했는데, 일반 닭가슴살을 준비하셔서 데쳐서 사용하셔도 됩니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/12/20/f9259cf670624cd5a603a0d9eac324761.jpg'}, {'description': '닭가슴살은 쪽쪽 찢어서 준비 합니다. 양배추는 닭가슴살과 비슷한 크기로 먹기 좋게 썰어 주시고, 청양고추는 송송, 홍고추는 어슷 썰어서 준비 합니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/12/20/290ff55fb0d9d203344bbbad1ca2f82d1.jpg'}, {'description': '팬에 양배추를 넣어 볶다가 닭가슴살을 넣어 볶아 주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/12/20/c58ebb3df9a5a18b7ec053fd8fe1eba81.jpg'}, {'description': '양배추가 선명해지기 시작하면 분량의 간장, 액젓, 올리고당, 청주를 넣고 빠르게 볶아 줍니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/12/20/26f7763d664ae43d7bf075b825aa44121.jpg'}, {'description': '다진마늘을 넣어 볶아 주고, 다 볶아 지면 불을 끄고 고추와 통깨를 넣어 골고루 섞어 줍니다. (통마늘을 편으로 썰어 제일 먼저 기름에 볶다가 양배추를 넣어 볶아 주셔도 좋아요.)', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/12/20/b18903ef1b35b80f4ae184e6fb94d1b61.jpg'}, {'description': '그릇에 담고 송송 썬 쪽파를 뿌려서 내어 본 닭가슴살 양배추볶음 이랍니다. 아삭하게 씹히는 맛도 좋고, 쫄깃담백하게 씹히는 닭.가슴살 맛도 좋다지요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/12/20/429fe979d3177daa155954f5340e307b1.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2015/05/29/061701ff47f3fa867850488257f54c5c1.jpg,미역초무침,2인분,15분 이내,초급,"[{'name': '건미역', 'quantity': '1움큼'}, {'name': '오이', 'quantity': '1/2개'}, {'name': '당근', 'quantity': '약간'}, {'name': '고춧가루', 'quantity': '1스푼'}, {'name': '통깨', 'quantity': '1/2스푼'}, {'name': '소금', 'quantity': '1/2스푼'}, {'name': '설탕', 'quantity': '1스푼'}, {'name': '참기름', 'quantity': '조금'}, {'name': '2배식초', 'quantity': '1스푼'}, {'name': '송송썬파', 'quantity': '1스푼'}, {'name': '다진마늘', 'quantity': '1/2티스푼'}]","[{'description': '건미역 한웅큼정도를 미지근한 물에 5분정도 불려줍니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/29/90a000e1b7fe4551cf1da863cd2ff8bd1.jpg'}, {'description': '오이1/2개는 반달모양으로 썰어주고 당근은 적당량 채썰어줍니다. 파는 송송썰어서 1스푼정도 준비하고 다진마늘은 커피찻스푼으로 1/2정도 준비합니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/29/fe2db60a1947a82c8a3c3a0cf1785c941.jpg'}, {'description': '끓는 물에 30초~ 1분 정도 데친 미역은 찬물에 헹궈 물기를 짜줍니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/29/36dda1500c1d1325f08584703ecd38521.jpg'}, {'description': '미역에 분량의 양념을 넣어 무치면 완성.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/29/fa0c297a0ac51e9bb8bc519559d3eeb71.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2016/10/19/d6a46143e42dbdb3b0ba3190b36950411.jpg,비벼 먹어도 맛있는 매콤한 참치 두부조림,3인분,30분 이내,초급,"[{'name': '두부', 'quantity': '1모'}, {'name': '참치 캔(小)', 'quantity': '1개'}, {'name': '양파', 'quantity': '1/2개'}, {'name': '청양고추', 'quantity': '1/2개'}, {'name': '홍고추', 'quantity': '1/2개'}, {'name': '대파', 'quantity': '1/2대'}, {'name': '고추장', 'quantity': '1큰술'}, {'name': '간장', 'quantity': '2~3큰술'}, {'name': '고춧가루', 'quantity': '1큰술'}, {'name': '다진 마늘', 'quantity': '1큰술'}, {'name': '후추', 'quantity': '약간'}, {'name': '설탕', 'quantity': '1큰술'}, {'name': '올리고당', 'quantity': '1큰술'}, {'name': '참기름', 'quantity': '약간'}]","[{'description': '두부조림의 양념을 만들어요.\n고추장 1큰술, 간장 2~3큰술, 고춧가루 1큰술, 다진 마늘 1큰술, 후추 약간, 설탕 1큰술', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/10/19/5f648ed62484cdb3c1beaee03d0bc9ef1.jpg'}, {'description': '두부는 적당한 두께로 잘라 키친타올을 이용해서 물기를 제거하고 소금을 뿌려 기름을 두른 팬에 올려 앞뒤로 노릇하게 구웠어요.\n소금을 뿌려서 구우면 두부가 잘 부서지지 않죠.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/10/19/a00558027c9d17136b3828f10d9a04011.jpg'}, {'description': '두부전에 참치, 양파 1/2개, 청양고추 1/2개, 홍고추 1/2개를 올리고', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/10/19/da183eb698cb435a3055598fbb0309501.jpg'}, {'description': '고추장 양념을 올려 두부가 잠길 정도의 물을 붓고 자작하게 조렸어요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/10/19/26f44e2ca1d40c572bab651e1e37366c1.jpg'}, {'description': '불에서 내리기 전에 대파를 올리고 올리고당 1큰술, 참기름 약간을 둘러 국물과 섞은 후 두부에 골고루 끼얹어 주었어요.\n올리고당과 참기름은 식성에 따라 조절하면 됩니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/10/19/29e6dccc93e24d8b3dc7059a250c55531.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2025/03/04/f4633f3db9a45cd4201aac49695e82801.jpg,게맛살 오이냉채,4인분,30분 이내,초급,"[{'name': '오이', 'quantity': '2개'}, {'name': '크래미 맛살', 'quantity': '10개'}, {'name': '소금', 'quantity': '1꼬집'}, {'name': '연겨자', 'quantity': '2큰술'}, {'name': '마요네즈', 'quantity': '2큰술'}, {'name': '식초', 'quantity': '3큰술'}, {'name': '설탕', 'quantity': '2큰술'}, {'name': '소금', 'quantity': '1작은술'}, {'name': '다진 마늘', 'quantity': '1큰술'}]","[{'description': '1. 오이는 필러로 가시와 껍질을 벗긴 후 채칼로 채 썰어 주세요.\n2. 소금 한 꼬집을 뿌려 10분간 절여주세요.\n주방필러 , 채칼 , 볼\n오이 손질법', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2025/03/04/81042ecaa5307de38c9ddc3ee6cdeb611.jpg'}, {'description': '게맛살은 결대로 가늘게 찢어 주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2025/03/04/6bb79a9bf4ca50637d417bf216b2c0ac1.jpg'}, {'description': '핸드믹서에 분량의 양념 재료를 넣고 갈아서 겨자 소스를 만들어 주세요.\n핸드믹서', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2025/03/04/2a3d52e80313d7c50935138117326eec1.jpg'}, {'description': '절인 오이는 물기를 지그시 짜 주세요.\n믹싱볼', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2025/03/04/cf544a76cdad3f885c6c3a1132dd08601.jpg'}, {'description': '볼에 오이, 게맛살, 겨자 소스 2/3을 넣어 주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2025/03/04/db7b6cce045b820332edb7124c14b9931.jpg'}, {'description': '1. 모든 재료와 소스를 골고루 섞어가며 버무려 주세요.\n2. 부족한 간은 남은 겨자소스로 맞춰 주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2025/03/04/b08273ce3a4e65bcea1e80d90d454b1d1.jpg'}, {'description': '접시에 담고 완성합니다.\n접시', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2025/03/04/b6e4bf7bdb599303d2e8b850523531711.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2019/07/31/078f256c9a66435d69c8bb397847dd821.jpg,매콤 소시지 맛살 볶음,2인분,5분 이내,아무나,"[{'name': '비엔나소시지', 'quantity': '10개'}, {'name': '맛살', 'quantity': '2개'}, {'name': '청양고추', 'quantity': '2개'}, {'name': '식용유', 'quantity': '1큰술'}, {'name': '맛술', 'quantity': '1작은술'}, {'name': '케첩', 'quantity': '1작은술'}, {'name': '굴소스', 'quantity': '1작은술'}]","[{'description': '소시지는 반으로 썰어주세요.\n맛살도 비슷한 길이로 썰어 주세요.\n청양고추는 송송 썰어 주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/07/31/e015d2666f18d6cb1f828bc1c1325e481.jpg'}, {'description': '팬에 식용유를 두르고, 위의 썰은 재료를 다 넣고 볶아 주세요(1~2분 정도)', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/07/31/45f29b9eb5fbb4551e6ea974584fd7291.jpg'}, {'description': '맛술,케첩,굴소스를 각 1작은술씩 넣고 볶아 주세요(1~2분 정도)', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/07/31/42a46c2d9d779ce994ade938bd8602961.jpg'}, {'description': '완성 그릇에 담아 주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/07/31/939735a02c5b78c29b9122f13dbd7d431.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2024/12/15/b3b14bbc46c4207ace672591834be0541.jpg,[메추리알장조림] 홍두깨살이 들어간 장조림 레시피 | 신혼밥상,6인분 이상,90분 이내,초급,"[{'name': '소고기 홍두깨살', 'quantity': '400g'}, {'name': '메추리알', 'quantity': '500g'}, {'name': '물', 'quantity': '800ml'}, {'name': '통마늘\n다진마늘 듬뿍 1T 대체 가능', 'quantity': '7개'}, {'name': '대파', 'quantity': '1/2개'}, {'name': '간장', 'quantity': '100ml'}, {'name': '맛술', 'quantity': '30ml'}, {'name': '설탕', 'quantity': '1+1/2T'}, {'name': '물엿', 'quantity': '1T'}]","[{'description': '홍두깨살은 400g을 준비해주시고\n믹싱볼', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/12/15/25b3892519358122e379cae747d7263f1.jpg'}, {'description': '물에 담기게끔 넣어서 30분정도 핏물을 빼주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/12/15/bb478b216b46849647b0e3ba8806db281.jpg'}, {'description': '메추리알은 500g을 준비해주시고 깐 메추리알을 구매했는데 개봉 후 2번정도 흐르는 물에 헹궈주세요~\n채반', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/12/15/d3a30d7d3fb508d86d579617662d903c1.jpg'}, {'description': '이제 육수를 만들어줄건데 일단 물 800ml에 파 1/2개를 통으로 넣어주시고\n냄비', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/12/15/a2391da7abd2841bda3d53522acb52951.jpg'}, {'description': '통마늘을 넣어주시면 좋은데 집에 통마늘이 없어서 다진마늘 듬뿍 1T을 넣어줬어요. (다진마늘은 나중에 체에 걸러야되서 통마늘 추천드려요~)\n숟가락', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/12/15/9a836431f18345f7640eeaefdbe89a601.jpg'}, {'description': '25분정도 끓여주세요~', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/12/15/3b3ca9f2914657b2f74a39f02ca121951.jpg'}, {'description': '삶아진 홍두깨살은 건져서 먹기 좋은 크기로 찢어주세요.\n믹싱볼', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/12/15/b3126776b4b0a2f2ffe70f13fc1c19771.jpg'}, {'description': '삶고 난 육수는 파와 마늘은 빼주시면 되요. (저처럼 통마늘이 없는 경우 마늘을 굳이 빼지 않아도 되지만 돌아다니는 마늘이 지저분하다고 느껴지시면 저처럼 체에 걸러서 국물만 걸러주시면 되요)', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/12/15/20d3e7dc994b6c1735e5151ad107be5d1.jpg'}, {'description': '육수에 메추리알을 넣어주시고', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/12/15/11525fd34284164c22b13deeb7caa8c31.jpg'}, {'description': '간장 100ml\n계량컵', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/12/15/e563c841f69d3544e76d6194bf24aea31.jpg'}, {'description': '맛술 30ml', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/12/15/728ad051d80ca1f9d3566f1abb6af8671.jpg'}, {'description': '설탕 1+1/2T', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/12/15/57f26526b694d0bdf0fdb530187f69d81.jpg'}, {'description': '물엿 1T을 넣고', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/12/15/e0c89e91ec7e1a903abac80d7e1f636b1.jpg'}, {'description': '육수가 반으로 줄어들 정도로 30분정도 끓여주시면~!', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/12/15/3ea19dfc467d71992757408795e6bae61.jpg'}, {'description': ""아주 간단하고 맛있는 '메추리알장조림' 완성~!!\n반찬통"", 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/12/15/1100be0a670444a5bf1b96d3486c87481.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2017/07/11/174ed82c8544e97c21c5b04a5ab3e95b1.jpg,건새우볶음 간단한 밑반찬 레시피 ~!,4인분,15분 이내,아무나,"[{'name': '건새우', 'quantity': '2줌'}, {'name': '케찹', 'quantity': '2큰술'}, {'name': '간장', 'quantity': '1큰술'}, {'name': '올리고당', 'quantity': '1큰술'}, {'name': '설탕', 'quantity': '1/2큰술'}]","[{'description': '건새우는 한번 볶아서 잔부스러기를 제거해주세요 ,식용유를 두르지 않은 팬에서 한번 볶아주세요.\n달궈진 팬에 건새우를 넣고 겉면이 살짝 하얗게 변하도록 볶아주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/07/11/a6901a154947bdb6c533fbb06b38a9771.jpg'}, {'description': '볶아주는동안 분량의 양념을 미리 준비해주세요.\n케찹 2큰술, 간장 1큰술, 올리고당 1큰술, 설탕 1/2큰술', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/07/11/42d0bf267014e2c0f774149e02f5da8c1.jpg'}, {'description': '볶아진 건새우를 채에 받혀서 잔부스러기를\n털어주시면 되는데요. 살짝 손으로 저으면서 털어주시면 되요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/07/11/274b28e68f4e1c25bad7072b90c2f2b41.jpg'}, {'description': '그다음 분량의 양념을 팬에 넣고 살짝 끓여주세요.\n보글보글 끓어오르기 시작하면 건새우를 넣어주시면 되는데요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/07/11/786ecebb22c0ceb6e4a4b0751dedce111.jpg'}, {'description': '건새우를 넣고 양념이 잘 어우러지도록 뒤적거려주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/07/11/4e9db40784fda7df2ee383e11bdb56a81.jpg'}, {'description': '양념이 너무 끓어오르면 탈수있기때문에\n반정도 섞어주신다음에 불을 꺼주시고 남은 열기로\n마무리 양념을 해주시면 된답니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/07/11/32f0830b0cc44e2517ea0d46d989467c1.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2015/04/21/fb93e99a7d04a83803902dfa1814b5fc1.jpg,감자 소세지 조림 만들기,초급,,,"[{'name': '비엔나소세지', 'quantity': ''}, {'name': '청양고추', 'quantity': ''}, {'name': '감자', 'quantity': ''}, {'name': '간장', 'quantity': ''}, {'name': '맛술', 'quantity': ''}, {'name': '올리고당', 'quantity': ''}]","[{'description': '먼저 감자는 약간 도톰하게 썰어요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/21/80cc35b4b8c5acd400301986ea1a78f31.jpg'}, {'description': '소세지도 칼집을 내주시고', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/21/73706055ae6e5f449f44cfd3c630c1331.jpg'}, {'description': '청양고추도 썰어야죠', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/21/1f4e7e491681872276ea7d7816b2db8a1.jpg'}, {'description': '달군팬에 기름을 두르고 감자를 먼저 살짝 볶아요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/21/7592ea1a6bb2f319d5b339c022b0d8db1.jpg'}, {'description': '물 한컵을 넣고 팬 뚜껑을 덮은후 감자를 익혀주세요. 완전히 다 익히지 말고 80%정도만 익혀주세요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/21/e602c80ea8600f5821e62a09d78fc8f21.jpg'}, {'description': '간장,맛술,올리고당을 넣고 조려주세요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/21/1367a20564b4f0b9c4a58f5574e44a4e1.jpg'}, {'description': '감자가 거의 다 익으면 소세지와 청양고추를 넣고 볶아요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/21/0dd0b341044c04b178d0940c316bd4121.jpg'}, {'description': '감자가 다 익으면 통깨넣고 마무리~', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/21/62ebc2bb34d94ba13b07e520daf7e6501.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2022/04/26/edbc1aad4d8e65f9d410847325b64bc21.jpg,밥에 얹어먹어도 좋은 팽이버섯장조림,3인분,15분 이내,아무나,"[{'name': '팽이버섯', 'quantity': '600g'}, {'name': '양파', 'quantity': '1/2개'}, {'name': '청양고추', 'quantity': '2개'}, {'name': '간장', 'quantity': '2/3종이컵'}, {'name': '설탕', 'quantity': '2/3종이컵'}, {'name': '물', 'quantity': '2/3종이컵'}]","[{'description': '세척한 팽이버섯은 밑동을 자른 후 먹기 좋게 찢는다', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/04/18/d595c64d154c42c0e6b31f7a4915f5d01.png'}, {'description': '청양고추는 송송 썰고 양파는 다진다', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/04/18/31ac08a0ce1b4484bce1a026fe52d3751.png'}, {'description': '팬에 간장, 설탕, 물을 1:1:1 비율로 넣고 끓인다\n팬', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/04/18/d9f4f67758ee94e2e3aca34951c87e791.png'}, {'description': '끓는 간장물에 팽이버섯과 양파, 청양고추를 넣고 끓인다\n청양고추는 취향에 맞게 생략 가능해요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/04/18/0c16a7b30a7513be7ae23ba62e4c3a2a1.png'}, {'description': '국물이 자작할 정도로 졸인다\n밥에 장조림, 노른자를 올려 비벼먹으면 맛있어요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/04/18/5010c24c911db4bb20b5928e104702d91.png'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2020/07/07/13e4a06c51e80447360d359896c46e6a1.jpg,간단/어묵 전,2인분,15분 이내,아무나,"[{'name': '어묵', 'quantity': '2장'}, {'name': '달걀', 'quantity': '2개'}, {'name': '대파', 'quantity': '적당량'}, {'name': '당근', 'quantity': '적당량'}, {'name': '양파', 'quantity': '적당량'}, {'name': '후추', 'quantity': ''}, {'name': '새우젓', 'quantity': '1티스푼'}, {'name': '케첩', 'quantity': ''}]","[{'description': '어묵 잘게 다져 볼에 담는다', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2020/07/07/f112a582b276fa501abd9e5c5fcf48b31.jpg'}, {'description': '양파,당근,파 곱게 다져 준다', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2020/07/07/688bfddea16477464c6c486d26ea43fc1.jpg'}, {'description': '후추,새우젓,계란 넣고', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2020/07/07/91b744c57cedf5dfbb4fb6445ed88ace1.jpg'}, {'description': '고루 섞어 준다', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2020/07/07/617a7a9a2ed8b5dc76a5da15ae52be581.jpg'}, {'description': '달군 팬에 동그랗게 떠 올리고', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2020/07/07/60d7f8e43e474beb9e1f915e745016271.jpg'}, {'description': '앞,뒤로 노릇노릇 구워', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2020/07/07/542d85e94fcf651a784e289828d9b1851.jpg'}, {'description': '접시에 담아 완성합니다\n케찹에 콕~ 찍어 맛나게\n찹~~ 챱~~~^^', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2020/07/07/4fc38e4fc7a57bf18b35762ece99e7fc1.jpg'}]"
