img,title,quantity,time,difficulty,ingredients,steps
https://recipe1.ezmember.co.kr/cache/recipe/2018/04/03/2a97bf50b6d0c90e9eccb7ac3e5f702a1.jpg,토마토 베이컨말이 / 오늘도 고생한 나에게#15 [ 심야레시피 ],1인분,15분 이내,아무나,"[{'name': '방울토마토', 'quantity': '10개'}, {'name': '꼬챙이\n꽂을것아무거나', 'quantity': '5개'}, {'name': '베이컨', 'quantity': '10장'}]","[{'description': '토마토를 베이컨에 싸준다', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/03/ec45509497fbc7fbb6046cd355edb10a1.png'}, {'description': '토마토를 베이컨에 굽는다', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/03/b8b1196b753aea88feec35123120dd601.png'}, {'description': '이쁘게 접시에올리고 장식을해준다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/03/fa06f734465e32ddd1f2bddd5c9992971.png'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2015/06/01/27487eecd23cdc87159138a2c3c3e2fb1.jpg,얼갈이된장무침,3인분,15분 이내,초급,"[{'name': '얼갈이배추', 'quantity': ''}, {'name': '된장', 'quantity': '1큰술'}, {'name': '고춧가루', 'quantity': '1큰술'}, {'name': '참깨', 'quantity': ''}, {'name': '참기름', 'quantity': '1작은술'}, {'name': '다진마늘', 'quantity': '약간'}, {'name': '매실액', 'quantity': '1큰술'}, {'name': '설탕', 'quantity': '1작은술'}]","[{'description': '얼갈이 배추를 끓는 물에 소금 약간 넣어 데쳐주어요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/01/2600026b09fb0a35acebeaef4b13eb5b1.jpg'}, {'description': '데쳐낸 얼갈이 배추는 물기를 꾹 짜 낸 후 분량의 양념을 넣고 조물조물 무쳐주어요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/01/126e74ea7f76aff97e05159a92389c0e1.jpg'}, {'description': '짭쪼름하고 달콤한 얼갈이된장무침 완성입니다!', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/06/01/57849d2119f3bbeb84d820a64c89b68b1.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2022/01/18/cdc70b2ecac2c6f1f52ad0ea73989d601.jpg,"두부스팸 계란말이, 맛있는 계란말이 만드는법",2인분,20분 이내,초급,"[{'name': '계란', 'quantity': '4개'}, {'name': '스팸', 'quantity': ''}, {'name': '두부', 'quantity': ''}, {'name': '후춧가루', 'quantity': ''}, {'name': '식용유', 'quantity': ''}]","[{'description': '스팸과', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/01/18/309ed62981492cd81b4787ac0afe67171.jpg'}, {'description': '두부는 1.5cm 두께로 길게 잘라 주고~\n각 4개씩 준비해주세요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/01/18/7b902bc5b0b6a29f062e22f687f95eb31.jpg'}, {'description': '두부는 키친타올로 가볍게 눌러서 물기를 제거해줍니다', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/01/18/463f245858e19028caf29bb27fb52cdc1.jpg'}, {'description': '계란4개는 후춧가루 약간 넣고 잘 풀어주세요\n스팸이 짭쪼름해서 소금간은 따로 하지 않았어요~', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/01/18/160ee4c8dae5de4ec9326ae0aa0744ad1.jpg'}, {'description': '팬에 식용유 두른 뒤 키친타올로 살짝 닦아내고', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/01/18/4fc0c57fff755e5ecc2d4f7b6cbd25ba1.jpg'}, {'description': '계란물 반을 먼저 팬에 부어 넓게 펴준 후', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/01/18/44fa0d394ea4963ac1d877699d698e461.jpg'}, {'description': '계란이 다 익기전에 두부와 스팸을\n2중으로 쌓아줍니다', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/01/18/9910171a2e5ebb3e8925f897fb5321ea1.jpg'}, {'description': '그런다음\n돌돌 말아주고요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/01/18/fa91b1879890b1d0c5c52cc0682ed8e61.jpg'}, {'description': '앞쪽으로 당긴다음 식용유 둘러주고', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/01/18/3588f7a9c7575bc096df9085557d3e781.jpg'}, {'description': '나머지 계란물 반을 부어주세요\n* 계란물을 부어줄 때 계란말이를 살짝 들어올려서 밑에까지 계란물이 들어가게 해주세요~', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/01/18/b6b944937ee5e702a776b3ea724eeaa41.jpg'}, {'description': '처음과 같이 돌돌 말아주고', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/01/18/b7b79d3cc22299d1b26affe313f708c61.jpg'}, {'description': '전체적으로 노릇노릇하게 돌려가면서 구워주세요~', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/01/18/a181ba8430c54b62c24312616c34b50a1.jpg'}, {'description': '완성된 계란말이는 뜨거울 때 일회용 비닐로 감싸서 손으로 만져주면 모양이 잘 잡혀요~', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/01/18/064a14f4c66b073f731fead33438bd981.jpg'}, {'description': '계란말이는 뜨거울 때 썰면 으스러지니 한김 식혀 주고', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/01/18/b5369193eac1683fc849ae53703d13b51.jpg'}, {'description': '먹기 좋은 크기로 썰어주면 모양도 예쁘고 맛도 좋은 스팸두부 계란말이가 완성됩니다~', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/01/18/8a019a52d5d62c8c41068d1dec941f8f1.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2015/04/21/84b0cb48ff01201d398c50a66a0d30571.jpg,고등어강정,30분 이내,초급,,"[{'name': '자반고등어', 'quantity': '1마리'}, {'name': '찹쌀가루', 'quantity': '1큰술'}, {'name': '녹말가루', 'quantity': '1큰술'}, {'name': '식용유', 'quantity': '적당량'}, {'name': '고추장', 'quantity': '2큰술'}, {'name': '진간장', 'quantity': '1작은술'}, {'name': '케찹', 'quantity': '2큰술'}, {'name': '매실액', 'quantity': '3큰술'}, {'name': '올리고당', 'quantity': '2큰술'}, {'name': '맛술', 'quantity': '2큰술'}, {'name': '다진마늘', 'quantity': '1작은술'}]","[{'description': '자반고등어는 흐르는 물에 씻은 후 물기를 제거하고 뼈가 없는 부분을 골라 먹기 좋은 크기로 썰어서 후춧가루를 뿌려줍니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/21/467a37f4bbc71715618333719a0b12481.jpg'}, {'description': '1회용 비닐봉지에 후춧가루를 뿌려 둔 자반고등어를 담고 찹쌀가루와 녹말가루를 넣어 흔들어서 튀김옷을 입혀줍니다. 1회용 비닐봉지를 이용하면 가루가 손에 묻지 않고 시간을 절약할 수가 있답니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/21/f7a9fc74d1f49bbab123eb4997192f8b1.jpg'}, {'description': '달군 프라이팬에 식용유를 적당량 붓고 170도씨 온도에서 튀김옷을 입힌 자반고등어를 넣어 노릇노릇하게 튀긴 후 접시에 키친타월을 깔고 건져냅니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/21/1606f49c0d799f5a8e43771be9c45c121.jpg'}, {'description': '분량의 양념 재료 고추장, 진간장, 케찹, 매실액, 올리고당, 맛술, 다진 마늘을 넣고 보글보글 끓여줍니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/21/eab0897be89dc82d7a85fa5144ba41a21.jpg'}, {'description': '튀겨 낸 자반고등어를 넣어 버무리듯 양념을 고루 묻혀 주고 불에서 내려요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/21/449bee086cdd7b91e14bd6662ae2a6ac1.jpg'}, {'description': '고등어강정을 접시에 담아냅니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/04/21/e1142891939d8148c389ef17b848f3c01.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2021/12/13/222b1c39d65388235a64874f0d0189d81.jpg,"아삭한 식감과 참치와의 조화, 참치 동그랑땡",2인분,30분 이내,초급,"[{'name': '참치캔', 'quantity': '150g'}, {'name': '당근', 'quantity': ''}, {'name': '양파', 'quantity': ''}, {'name': '대파', 'quantity': ''}, {'name': '소금', 'quantity': '0.2T'}, {'name': '깨', 'quantity': ''}, {'name': '참기름', 'quantity': ''}, {'name': '계란', 'quantity': '1알'}, {'name': '부침가루', 'quantity': '1스푼'}, {'name': '후추', 'quantity': ''}]","[{'description': '참치캔은 미리 따서 5분간 놔두세요.\n아시겠지만, 캔 통조림 제조 과정상 발생 되는 “퓨란”이라는 발암 물질 때문에 바로 드시면 안된답니다.\n휘발성이라 5분정도 놔두면 날라간다고 해요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2021/12/13/ecb91e62eed27230fb0338609899514c1.jpg'}, {'description': '양파, 대파, 당근은 잘게 다져줍니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2021/12/13/2ba519c78fe4d00451f3d034fb07bc5a1.jpg'}, {'description': '참치는 기름을 뺀 후 야채와 함께 볼에 넣어주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2021/12/13/1b396e06fa870ee2a47a50f30ff007051.jpg'}, {'description': '후추, 깨, 소금 0.2T, 참기름(생략), 넣어주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2021/12/13/8849d62f7290538bc1ed3eb52283f4cc1.jpg'}, {'description': '부침가루도 1스푼을 넣고 잘 섞어주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2021/12/13/38b3e31f6ee71c0c646c98436da72bd51.jpg'}, {'description': '동그랗게 예쁘게 뭉쳐주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2021/12/13/93eda360b978212b68ba32aae5f6ef481.jpg'}, {'description': '계란1알을 잘 풀어주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2021/12/13/0878382ef42cb4f770f02db1a763548d1.jpg'}, {'description': '동그랑땡을 부침가루에 묻힌 후 계란 옷을 입혀줍니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2021/12/13/f5b14070afe5c036dc3f197dc6d0932f1.jpg'}, {'description': '계란옷을 입혀 달궈진 후라이팬에서 구워주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2021/12/13/bbcc69e9f3f8cc94ac0b550be830c1ef1.jpg'}, {'description': '노릇노릇하게 구워주면 끝!', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2021/12/13/7550048394527539a45005be61fac24f1.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2018/12/08/a40b26655a1d714ddd3410b64b9ab8321.jpg,바쁜아침 간단하지만 든든한 단호박계란찜 만들기~~,3인분,15분 이내,아무나,"[{'name': '단호박', 'quantity': ''}, {'name': '계란', 'quantity': ''}, {'name': '소금', 'quantity': '소량'}]","[{'description': '1. 단호박의 윗부분을 칼로 제거합니다.\n단호박 속을 수저로 파줍니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/12/08/08d5eb2ce35b37a9a676de1b75099af71.png'}, {'description': '2. 계란과 물을 동량으로 풀어준후 소량의 소금간을 합니다. 계란 1개일때 소금 (완두콩알만큼).\n준비한 계란물을 단호박속에 부어준후 뚜껑을 덮어줍니다', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/12/08/5b1a9aa093ce98ff5e21d1163d20406e1.png'}, {'description': '3. 전자렌지에 8분정도 돌려주면 완성입니다.\n==> 단호박 크기에 따라 전자렌지 돌려주는 시간 조절하세요.\n전자레인지\n찜솥에 찜을 하셔도 됩니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/12/08/326623f23a3a9fd4074afe3dcbde50791.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2017/11/15/b9c941e38993eded2936357fdf0912151.jpg,고추장감자조림 감칠맛 최고,2인분,15분 이내,아무나,"[{'name': '감자', 'quantity': '2개'}, {'name': '청양고추', 'quantity': '1개'}, {'name': '양파', 'quantity': '1/2개'}, {'name': '대파', 'quantity': ''}, {'name': '물', 'quantity': '1컵'}, {'name': '고추장', 'quantity': '1스푼'}, {'name': '고춧가루', 'quantity': '1/2스푼'}, {'name': '진간장', 'quantity': '1스푼'}, {'name': '다진마늘', 'quantity': '1스푼'}, {'name': '맛술', 'quantity': '1스푼'}, {'name': '설탕', 'quantity': '1/2스푼'}]","[{'description': '가장 먼저 감자는 먹기 좋게 썰은 후 전분기를 빼기위해 찬물에 잠시 담궈줍니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/11/16/d901a1f31660201b2130796f8069e6af1.jpg'}, {'description': '그사이 청양고추와 대파는 송송 양파는 채썰어 주시구요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/11/16/7e1da36485f489cdc9deaf2b0e997d7c1.jpg'}, {'description': '양념장을 만들어 줍니다. 고추장 1스푼 / 고춧가루 반스푼진간장 1스푼 / 다진마늘 1스푼맛술 1스푼 / 설탕 반스푼', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/11/16/9f81912c5cc754a03c5665e0ab8725fb1.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2019/03/16/4d8827ba179ba95c45c01a07c670554c1.jpg,참치 매콤 쪽파전,2인분,10분 이내,아무나,"[{'name': '참치캔 1통', 'quantity': '200g'}, {'name': '쪽파', 'quantity': '7줄기'}, {'name': '마늘', 'quantity': '6개'}, {'name': '청양고추', 'quantity': '2개'}, {'name': '홍고추', 'quantity': '1/2개'}, {'name': '계란', 'quantity': '2개'}, {'name': '식용유', 'quantity': '약간'}, {'name': '참치액', 'quantity': '1작은술'}]","[{'description': '쪽파는 송송 썰어주세요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/03/16/6d0cab68e2ab1c9d136965add96453261.jpg'}, {'description': '청양고추,홍고추,마늘은 다져주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/03/16/88892e94ecdfdd86ed73f7e7aaa42c691.jpg'}, {'description': '참치캔은 기름을 제거해주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/03/16/99161558b4be2eacdf8d3d699c2ce03b1.jpg'}, {'description': '볼에 참치을 넣고 비벼서 으깬후 계란을 넣고', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/03/16/63e270def41ad6663eb10720962ba59c1.jpg'}, {'description': '쪽파,청양고추,홍고추,마늘을 넣고,참치액을 넣고 섞어주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/03/16/4318fb57b42a8f1999e2cd8e5d4368311.jpg'}, {'description': '팬에 식용유를 두르고 반죽을 한수저씩 올리고 둥글게 붙여주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/03/16/9c23f2fc3a5bba6206d51c85d031604b1.jpg'}, {'description': '밑면이 노릇해지면 뒤집어서 익혀주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/03/16/a1d1c947697ed9965535f241fd1068a41.jpg'}, {'description': '완성그릇에 담아주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/03/16/6f861ceb95f98a6a2ee169d1df00f5ea1.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2022/10/08/b1fbd9cd7d8597296fe46fb1587c65f41.jpg,매콤 달콤 감자 스팸 볶음 레시피 초간단,2인분,10분 이내,아무나,"[{'name': '감자', 'quantity': '1개'}, {'name': '스팸', 'quantity': '1캔'}, {'name': '청양고추', 'quantity': '1개'}, {'name': '간장', 'quantity': '2스푼'}, {'name': '굴소스', 'quantity': '1스푼'}, {'name': '올리고당', 'quantity': '1스푼'}, {'name': '설탕', 'quantity': '1스푼'}, {'name': '고추장', 'quantity': '1스푼'}, {'name': '다진마늘', 'quantity': '1스푼'}, {'name': '참기름', 'quantity': '1스푼'}]","[{'description': '감자랑 스팸이랑 같은 모양으로 썰주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/10/08/a449145dedd80b1c8886b77bc27262691.jpg'}, {'description': '스팸을 한번 데치면, 불순물도 빠지고 좀더 깔끔한 스팸을 만날 수 있어요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/10/08/0af16dce69fe025d5a6c80440df8087c1.jpg'}, {'description': '후라이팬에 다진마늘 1스푼 넣어주세요. 감자를 먼저 넣어주세요.\n감자가 스팸보다 단단하기 때문에 익는데 오래걸려요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/10/08/2e8fdc3bca844a22e05b2e9f6a6ce2681.jpg'}, {'description': '감자를 3~5분 정도 볶아준 다음에 간장 1스푼, 굴소스 1스푼 넣어주세요!!', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/10/08/da6ea73ce473f64a83318bbb97b5c94a1.jpg'}, {'description': '스팸을 넣어주세요. 설탕 1스푼, 올리고당 1스푼, 고추장 1스푼 넣어주세요.\n간장, 굴소스만 넣기보다는 고추장 같이 넣어주니까 훨씬 양념이 맛이 좋아지더라구요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/10/08/383370cd4fb1cd740c51e75fca9475e91.jpg'}, {'description': '참기름 1스푼 넣어주세요.\n아이들 있는 집에서는 청양고추 안 넣어주셔도 됩니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/10/08/c54a5e299566d5e8b49b9db22b535eca1.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2022/10/23/4a95f543b57bd4554fb8b25bf2b64cad1.png,[식약처] 발사믹과 로즈마리로 향을 낸 오븐구이 야채,1인분,60분 이내,중급,"[{'name': '단호박', 'quantity': '40g'}, {'name': '당근', 'quantity': '40g'}, {'name': '비트', 'quantity': '40g'}, {'name': '고구마', 'quantity': '40g'}, {'name': '꿀', 'quantity': '8g'}, {'name': '발사믹식초', 'quantity': '30g'}, {'name': '로즈마리', 'quantity': '2g'}, {'name': '소금', 'quantity': '적당량'}, {'name': '후추', 'quantity': '적당량'}]","[{'description': '단호박, 비트, 고구마, 당근은 껍질을 벗긴다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/10/23/68f4f4c85d5564a3b2e69b7bb1048afb1.png'}, {'description': '1을 자연스럽게 2~2.5cm 두께로 썬다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/10/23/67efa3df17e4d78aa96c9bbb12eb6c131.png'}, {'description': '볼에 2와 발사믹 식초, 꿀, 로즈마리 잎을 넣고 버무린다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/10/23/210880556d8e24c5b76172df318536721.png'}, {'description': '소금, 후추로 간을 한다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/10/23/deb4285e22f0bb2a15b0dfcf7efdd9691.png'}, {'description': '150℃의 예열된 오븐에서 익을 때까지 굽는다.\n오븐', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/10/23/db7c5c0fe011e052827195260dcad8841.png'}, {'description': '중간에 뒤집어 주어 고루 익히도록 한다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/10/23/34fe8974f55335ee982bc68da49270a51.png'}]"
