model_folder,ingredient_id,normalized_name,display_name,category_suggestion,train_count,val_count,test_count,needs_train_images,team_upload_path
ing_00109,109,라이스페이퍼,라이스페이퍼,곡류,0,0,0,Y,data_sources/team_uploads/train/ing_00109/
ing_00112,112,쌈장,쌈장,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00112/
ing_00113,113,새우,새우,해산물,0,0,0,Y,data_sources/team_uploads/train/ing_00113/
ing_00114,114,마늘쫑,마늘쫑,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00114/
ing_00115,115,배추,배추,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00115/
ing_00116,116,떡볶이떡,떡볶이떡,곡류,0,0,0,Y,data_sources/team_uploads/train/ing_00116/
ing_00117,117,파슬리,파슬리,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00117/
ing_00118,118,머스타드,머스타드,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00118/
ing_00119,119,떡,떡,곡류,0,0,0,Y,data_sources/team_uploads/train/ing_00119/
ing_00122,122,스팸,스팸,육류,0,0,0,Y,data_sources/team_uploads/train/ing_00122/
ing_00129,129,맛살,맛살,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00129/
ing_00132,132,마요네즈,마요네즈,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00132/
ing_00133,133,파슬리가루,파슬리가루,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00133/
ing_00135,135,들깨,들깨,조미료,0,0,0,Y,data_sources/team_uploads/train/ing_00135/
ing_00136,136,대파 흰부분,대파 흰부분,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00136/
ing_00137,137,깻잎,깻잎,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00137/
ing_00138,138,들깨가루,들깨가루,조미료,0,0,0,Y,data_sources/team_uploads/train/ing_00138/
ing_00141,141,미림,미림,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00141/
ing_00147,147,고구마,고구마,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00147/
ing_00151,151,까나리액젓,까나리액젓,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00151/
ing_00152,152,크래미,크래미,해산물,0,0,0,Y,data_sources/team_uploads/train/ing_00152/
ing_00153,153,곤약,곤약,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00153/
ing_00157,157,햄,햄,육류,0,0,0,Y,data_sources/team_uploads/train/ing_00157/
ing_00158,158,꽈리고추,꽈리고추,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00158/
ing_00163,163,닭고기,닭고기,육류,0,0,0,Y,data_sources/team_uploads/train/ing_00163/
ing_00166,166,연겨자,연겨자,조미료,0,0,0,Y,data_sources/team_uploads/train/ing_00166/
ing_00167,167,꿀,꿀,조미료,0,0,0,Y,data_sources/team_uploads/train/ing_00167/
ing_00168,168,진미채,진미채,해산물,0,0,0,Y,data_sources/team_uploads/train/ing_00168/
ing_00169,169,치킨너겟,치킨너겟,육류,0,0,0,Y,data_sources/team_uploads/train/ing_00169/
ing_00170,170,멸치,멸치,해산물,0,0,0,Y,data_sources/team_uploads/train/ing_00170/
ing_00175,175,차돌박이,차돌박이,육류,0,0,0,Y,data_sources/team_uploads/train/ing_00175/
ing_00177,177,돼지고기 다짐육,돼지고기 다짐육,육류,0,0,0,Y,data_sources/team_uploads/train/ing_00177/
ing_00179,179,전분,전분,조미료,0,0,0,Y,data_sources/team_uploads/train/ing_00179/
ing_00180,180,우유,우유,유제품,0,0,0,Y,data_sources/team_uploads/train/ing_00180/
ing_00181,181,면,면,곡류,0,0,0,Y,data_sources/team_uploads/train/ing_00181/
ing_00185,185,양조간장,양조간장,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00185/
ing_00186,186,작은오징어,작은오징어,해산물,0,0,0,Y,data_sources/team_uploads/train/ing_00186/
